Province,City,Year,Quarter,1_Bedroom_Rent,2_Bedroom_Rent,All-items,Food,Shelter,Household_ops,Clothing and footwear,Transportation,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis"
British Columbia,Abbotsford - Mission,2020,1,1120.0,1330.0,132.43333333333334,148.96666666666667,126.73333333333333,120.0,110.56666666666666,144.33333333333334,123.06666666666666,125.60000000000001,160.33333333333334
British Columbia,Abbotsford - Mission,2020,2,1120.0,1380.0,131.76666666666665,149.6,126.36666666666667,120.93333333333334,103.8,141.56666666666666,124.33333333333333,125.60000000000001,160.79999999999998
British Columbia,Abbotsford - Mission,2020,3,1120.0,1370.0,132.5,149.66666666666666,126.66666666666667,121.5,104.3,143.33333333333334,125.63333333333333,126.96666666666665,160.13333333333333
British Columbia,Abbotsford - Mission,2020,4,1190.0,1340.0,133.0,149.93333333333334,128.96666666666667,121.2,106.26666666666667,142.5,126.36666666666667,125.7,158.1
British Columbia,Abbotsford - Mission,2021,1,1200.0,1580.0,134.20000000000002,150.9333333333333,129.66666666666666,121.03333333333335,103.93333333333334,147.9,125.89999999999999,126.3,158.86666666666667
British Columbia,Abbotsford - Mission,2021,2,1250.0,1580.0,135.36666666666667,151.93333333333334,131.79999999999998,121.3,106.96666666666665,147.0666666666667,128.13333333333333,127.73333333333333,159.9
British Columbia,Abbotsford - Mission,2021,3,1250.0,1580.0,136.96666666666667,153.4333333333333,133.5,121.73333333333333,106.10000000000001,149.20000000000002,129.1,131.83333333333334,161.5
British Columbia,Abbotsford - Mission,2021,4,1350.0,1850.0,138.0,155.93333333333334,135.76666666666665,121.63333333333333,105.53333333333335,149.4,129.9333333333333,130.6,162.36666666666667
British Columbia,Abbotsford - Mission,2022,1,1360.0,1630.0,140.93333333333334,160.03333333333333,138.9333333333333,123.23333333333333,104.86666666666667,155.33333333333334,129.29999999999998,132.70000000000002,165.53333333333333
British Columbia,Abbotsford - Mission,2022,2,1400.0,1810.0,145.6,163.53333333333333,142.5,127.90000000000002,107.56666666666666,166.1,132.16666666666666,137.06666666666666,168.13333333333333
British Columbia,Abbotsford - Mission,2022,3,1460.0,1760.0,147.46666666666667,167.6,143.83333333333334,129.26666666666668,104.7,167.66666666666666,133.29999999999998,140.73333333333332,173.4
British Columbia,Abbotsford - Mission,2022,4,1480.0,1760.0,147.9333333333333,170.29999999999998,145.76666666666668,129.4333333333333,106.03333333333335,164.83333333333334,135.43333333333334,135.73333333333335,175.4
British Columbia,Abbotsford - Mission,2023,1,1520.0,1810.0,148.96666666666667,174.83333333333334,147.5,128.33333333333334,106.60000000000001,163.16666666666666,137.0666666666667,135.83333333333334,177.76666666666665
British Columbia,Abbotsford - Mission,2023,2,1590.0,1990.0,151.0,176.26666666666665,149.5,128.96666666666667,108.26666666666667,165.73333333333335,140.23333333333332,140.03333333333333,179.5666666666667
British Columbia,Abbotsford - Mission,2023,3,1670.0,2010.0,152.46666666666667,178.0666666666667,151.5,128.16666666666666,105.39999999999999,167.86666666666667,141.06666666666666,145.56666666666666,180.0666666666667
British Columbia,Abbotsford - Mission,2023,4,1750.0,2060.0,152.5,179.33333333333334,155.23333333333335,126.16666666666667,106.39999999999999,164.36666666666667,141.0,139.29999999999998,180.36666666666667
British Columbia,Abbotsford - Mission,2024,1,1720.0,2040.0,153.13333333333333,181.63333333333333,157.23333333333335,127.06666666666666,101.73333333333333,163.66666666666666,141.9,137.29999999999998,182.76666666666665
British Columbia,Abbotsford - Mission,2024,2,1680.0,2090.0,155.20000000000002,181.4333333333333,159.5,126.83333333333333,103.66666666666667,168.26666666666665,144.06666666666666,142.23333333333332,183.9
British Columbia,Abbotsford - Mission,2024,3,1690.0,2130.0,156.13333333333333,183.0,160.73333333333335,128.06666666666666,101.8,167.76666666666668,144.26666666666668,144.46666666666667,185.4
British Columbia,Abbotsford - Mission,2024,4,1640.0,1990.0,156.20000000000002,183.79999999999998,162.96666666666667,126.83333333333333,102.83333333333333,166.5666666666667,143.9,140.4333333333333,184.4
British Columbia,Abbotsford - Mission,2025,1,1650.0,2020.0,157.13333333333333,184.96666666666667,163.6,127.8,102.10000000000001,169.63333333333333,143.96666666666667,140.93333333333334,184.46666666666667
Ontario,Barrie,2020,1,1340.0,1580.0,138.20000000000002,154.73333333333335,149.20000000000002,124.86666666666667,92.33333333333333,142.66666666666666,130.23333333333335,116.7,176.23333333333335
Ontario,Barrie,2020,2,1400.0,1590.0,137.79999999999998,156.36666666666667,148.70000000000002,125.66666666666667,88.60000000000001,140.86666666666667,128.76666666666668,118.09999999999998,176.5666666666667
