Province,City,Year,Quarter,1_Bedroom_Rent,2_Bedroom_Rent
,"Abbotsford - Mission, Census metropolitan area (CMA)",2020,1,1120.0,1330.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2020,2,1120.0,1380.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2020,3,1120.0,1370.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2020,4,1190.0,1340.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2021,1,1200.0,1580.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2021,2,1250.0,1580.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2021,3,1250.0,1580.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2021,4,1350.0,1850.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2022,1,1360.0,1630.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2022,2,1400.0,1810.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2022,3,1460.0,1760.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2022,4,1480.0,1760.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2023,1,1520.0,1810.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2023,2,1590.0,1990.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2023,3,1670.0,2010.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2023,4,1750.0,2060.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2024,1,1720.0,2040.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2024,2,1680.0,2090.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2024,3,1690.0,2130.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2024,4,1640.0,1990.0
,"Abbotsford - Mission, Census metropolitan area (CMA)",2025,1,1650.0,2020.0
,"Barrie, Census metropolitan area (CMA)",2020,1,1340.0,1580.0
,"Barrie, Census metropolitan area (CMA)",2020,2,1400.0,1590.0
,"Barrie, Census metropolitan area (CMA)",2020,3,1400.0,1620.0
,"Barrie, Census metropolitan area (CMA)",2020,4,1440.0,1690.0
,"Barrie, Census metropolitan area (CMA)",2021,1,1560.0,1730.0
,"Barrie, Census metropolitan area (CMA)",2021,2,1660.0,1770.0
,"Barrie, Census metropolitan area (CMA)",2021,3,1550.0,1850.0
,"Barrie, Census metropolitan area (CMA)",2021,4,1560.0,1860.0
,"Barrie, Census metropolitan area (CMA)",2022,1,1570.0,2000.0
,"Barrie, Census metropolitan area (CMA)",2022,2,1760.0,2050.0
,"Barrie, Census metropolitan area (CMA)",2022,3,1740.0,2030.0
,"Barrie, Census metropolitan area (CMA)",2022,4,1750.0,2010.0
,"Barrie, Census metropolitan area (CMA)",2023,1,1710.0,2010.0
,"Barrie, Census metropolitan area (CMA)",2023,2,1750.0,2040.0
,"Barrie, Census metropolitan area (CMA)",2023,3,1740.0,2050.0
,"Barrie, Census metropolitan area (CMA)",2023,4,1920.0,2200.0
,"Barrie, Census metropolitan area (CMA)",2024,1,1840.0,2240.0
,"Barrie, Census metropolitan area (CMA)",2024,2,1740.0,2080.0
,"Barrie, Census metropolitan area (CMA)",2024,3,1780.0,2050.0
,"Barrie, Census metropolitan area (CMA)",2024,4,1810.0,2050.0
,"Barrie, Census metropolitan area (CMA)",2025,1,1800.0,2120.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2020,1,1150.0,1370.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2020,2,1160.0,1400.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2020,3,1140.0,1470.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2020,4,1170.0,1470.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2021,1,1220.0,1480.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2021,2,1300.0,1590.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2021,3,1250.0,1530.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2021,4,1370.0,1590.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2022,1,1390.0,1700.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2022,2,1430.0,1720.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2022,3,1500.0,1810.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2022,4,1450.0,1790.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2023,1,1550.0,1790.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2023,2,1500.0,1840.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2023,3,1500.0,1880.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2023,4,1510.0,1920.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2024,1,1600.0,1830.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2024,2,1580.0,1830.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2024,3,1630.0,1950.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2024,4,1640.0,1880.0
,"Belleville - Quinte West, Census metropolitan area (CMA)",2025,1,1560.0,1860.0
,"Brantford, Census metropolitan area (CMA)",2020,1,1190.0,1380.0
,"Brantford, Census metropolitan area (CMA)",2020,2,1220.0,1440.0
,"Brantford, Census metropolitan area (CMA)",2020,3,1210.0,1450.0
,"Brantford, Census metropolitan area (CMA)",2020,4,1250.0,1480.0
,"Brantford, Census metropolitan area (CMA)",2021,1,1290.0,1480.0
,"Brantford, Census metropolitan area (CMA)",2021,2,1320.0,1510.0
,"Brantford, Census metropolitan area (CMA)",2021,3,1400.0,1620.0
,"Brantford, Census metropolitan area (CMA)",2021,4,1400.0,1670.0
,"Brantford, Census metropolitan area (CMA)",2022,1,1430.0,1660.0
,"Brantford, Census metropolitan area (CMA)",2022,2,1420.0,1750.0
,"Brantford, Census metropolitan area (CMA)",2022,3,1540.0,1770.0
,"Brantford, Census metropolitan area (CMA)",2022,4,1530.0,1830.0
,"Brantford, Census metropolitan area (CMA)",2023,1,1570.0,1850.0
,"Brantford, Census metropolitan area (CMA)",2023,2,1570.0,1880.0
,"Brantford, Census metropolitan area (CMA)",2023,3,1610.0,1870.0
,"Brantford, Census metropolitan area (CMA)",2023,4,1640.0,1950.0
,"Brantford, Census metropolitan area (CMA)",2024,1,1620.0,1910.0
,"Brantford, Census metropolitan area (CMA)",2024,2,1620.0,1900.0
,"Brantford, Census metropolitan area (CMA)",2024,3,1680.0,1910.0
,"Brantford, Census metropolitan area (CMA)",2024,4,1690.0,1910.0
,"Brantford, Census metropolitan area (CMA)",2025,1,1650.0,1880.0
,"Calgary, Census metropolitan area (CMA)",2020,1,1180.0,1410.0
,"Calgary, Census metropolitan area (CMA)",2020,2,1190.0,1400.0
,"Calgary, Census metropolitan area (CMA)",2020,3,1190.0,1400.0
,"Calgary, Census metropolitan area (CMA)",2020,4,1170.0,1380.0
,"Calgary, Census metropolitan area (CMA)",2021,1,1180.0,1420.0
,"Calgary, Census metropolitan area (CMA)",2021,2,1200.0,1440.0
,"Calgary, Census metropolitan area (CMA)",2021,3,1210.0,1450.0
,"Calgary, Census metropolitan area (CMA)",2021,4,1220.0,1460.0
,"Calgary, Census metropolitan area (CMA)",2022,1,1250.0,1500.0
,"Calgary, Census metropolitan area (CMA)",2022,2,1290.0,1560.0
,"Calgary, Census metropolitan area (CMA)",2022,3,1370.0,1700.0
,"Calgary, Census metropolitan area (CMA)",2022,4,1440.0,1760.0
,"Calgary, Census metropolitan area (CMA)",2023,1,1500.0,1790.0
,"Calgary, Census metropolitan area (CMA)",2023,2,1520.0,1840.0
,"Calgary, Census metropolitan area (CMA)",2023,3,1660.0,2010.0
,"Calgary, Census metropolitan area (CMA)",2023,4,1770.0,2130.0
,"Calgary, Census metropolitan area (CMA)",2024,1,1740.0,2090.0
,"Calgary, Census metropolitan area (CMA)",2024,2,1760.0,2150.0
,"Calgary, Census metropolitan area (CMA)",2024,3,1720.0,2050.0
,"Calgary, Census metropolitan area (CMA)",2024,4,1630.0,1950.0
,"Calgary, Census metropolitan area (CMA)",2025,1,1630.0,1920.0
,"Chilliwack, Census metropolitan area (CMA)",2020,1,1000.0,1290.0
,"Chilliwack, Census metropolitan area (CMA)",2020,2,1090.0,1270.0
,"Chilliwack, Census metropolitan area (CMA)",2020,3,1090.0,1310.0
,"Chilliwack, Census metropolitan area (CMA)",2020,4,1130.0,1430.0
