REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-20,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,140,,,,1
Feb-20,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,140.3,,,,1
Mar-20,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,139.2,,,,1
Apr-20,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,137.6,,,,1
May-20,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,138.2,,,,1
Jun-20,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,139.5,,,,1
Jul-20,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,139.6,,,,1
Aug-20,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,139.1,,,,1
Sep-20,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,139.4,,,,1
Oct-20,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,140.5,,,,1
Nov-20,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,141,,,,1
Dec-20,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,140.4,,,,1
Jan-21,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,142.1,,,,1
Feb-21,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,142,,,,1
Mar-21,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,142.9,,,,1
Apr-21,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,143.5,,,,1
May-21,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,144.3,,,,1
Jun-21,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,144.4,,,,1
Jul-21,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,145.8,,,,1
Aug-21,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,145.8,,,,1
Sep-21,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,145.6,,,,1
Oct-21,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,146.8,,,,1
Nov-21,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,146.9,,,,1
Dec-21,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,146.3,,,,1
Jan-22,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,147.8,,,,1
Feb-22,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,149.3,,,,1
Mar-22,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,151.9,,,,1
Apr-22,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,153,,,,1
May-22,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,155.8,,,,1
Jun-22,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,156.2,,,,1
Jul-22,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,155.9,,,,1
Aug-22,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,155.1,,,,1
Sep-22,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,154.5,,,,1
Oct-22,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,156.4,,,,1
Nov-22,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,156.8,,,,1
Dec-22,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,154.6,,,,1
Jan-23,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,155.9,,,,1
Feb-23,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,157.4,,,,1
Mar-23,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,157,,,,1
Apr-23,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,158.3,,,,1
May-23,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,158.5,,,,1
Jun-23,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,158.9,,,,1
Jul-23,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,159.8,,,,1
Aug-23,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,161,,,,1
Sep-23,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,160.8,,,,1
Oct-23,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,160.2,,,,1
Nov-23,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,160.1,,,,1
Dec-23,Newfoundland and Labrador,2016A000210,All-items,2002=100,17,units,0,v41691244,3.2,159.8,,,,1
